File;Redirect_Link;Comment
index-184_Deutsch_News21.htm;https://www.iobroker.net;Base_Redirect
index-185_Deutsch_News22.htm;https://www.iobroker.net;Base_Redirect
index-186_Deutsch_News23.htm;https://www.iobroker.net;Base_Redirect
index-187_Deutsch_News24.htm;https://www.iobroker.net;Base_Redirect
index-188_Deutsch_News25.htm;https://www.iobroker.net;Base_Redirect
index-189_Deutsch_News26.htm;https://www.iobroker.net;Base_Redirect
index-19_Downloads_Images.htm;https://www.iobroker.net/#de/download;base_Download
index-190_Deutsch_News27.htm;https://www.iobroker.net;Base_Redirect
index-191_Deutsch_Adapter_Aufbewahrung_History.htm;;
index-192_Deutsch_Adapter_Hardware_HM-rpc.htm;;
index-193_Deutsch_Adapter_Hardware_HM-rega.htm;;
index-194_Deutsch_Adapter_Kategorie-Vis_VIS.htm;;
index-195_Deutsch_Adapter_Visualisierung_flot.htm;;
index-196_Deutsch_Installation-Start_Installation-eines-Adapters-und-Konfiguration-einer-Instanz.htm;https://www.iobroker.net/#de/documentation/tutorial/adapter.md?upgradeeinesadapters.md;
index-197_Deutsch_Installation-Start_Adapter-installieren-verwalten.htm;;
index-198_Deutsch_Installation-Start_Plattformen-Betriebssystem_ARM.htm;;
index-199_Englisch_Quick-start-with-linux.htm;https://www.iobroker.net/#en/documentation/install/linux.md;
index-2_Startseite_RU.htm;;
index-20_Installation-Start_Virtual-Box.htm;;
index-200_Deutsch_Downloads_Installation_Neuanfang-mit-Images.htm;https://www.iobroker.net/#de/download;base_Download
index-201_Deutsch_Downloads_Installation_Image-für-OPi.htm;https://www.iobroker.net/#de/download;base_Download
index-202_Deutsch_Downloads_Installation_Image-für-C2.htm;https://www.iobroker.net/#de/download;base_Download
index-203_Deutsch_Downloads_Installation_Image-für-Rock64.htm;https://www.iobroker.net/#de/download;base_Download
index-204_Deutsch_Downloads_Installation_Image-für-Tinkerboard.htm;https://www.iobroker.net/#de/download;base_Download
index-205_Deutsch_Downloads_Installation_Image-für-Pi2-3.htm;https://www.iobroker.net/#de/download;base_Download
index-206_Deutsch_Downloads_Installation_Image-für-Rock64.htm;https://www.iobroker.net/#de/download;base_Download
index-207_Deutsch_Downloads_Installation_Image-für-Pi2-3-mit-piVCCU.htm;https://www.iobroker.net/#de/download;base_Download
index-208_Deutsch_Downloads_Installation_Image-für-Pi2-3.htm;https://www.iobroker.net/#de/download;base_Download
index-209_Deutsch_Downloads_Installation_Image-für_Tinkerboard.htm;https://www.iobroker.net/#de/download;base_Download
index-21_Installation-Start_Plattformen_QNAP.htm;;
index-210_Deutsch_Downloads_Installation_Image-für-OPi.htm;https://www.iobroker.net/#de/download;base_Download
index-211_Deutsch_Downloads_Installation_Image-für-Cubietruck.htm;https://www.iobroker.net/#de/download;base_Download
index-212_Deutsch_Downloads_Installation_Image-für-Rock64.htm;https://www.iobroker.net/#de/download;base_Download
index-213_Deutsch_Downloads_Installation_Image-für-Pi1.htm;https://www.iobroker.net/#de/download;base_Download
index-214_Deutsch_Downloads_Installation_Image-für-Tinkerboard-mit-piVCCU.htm;https://www.iobroker.net/#de/download;base_Download
index-215_Deutsch_Downloads_Installation_Image-für-Pi2-3.htm;https://www.iobroker.net/#de/download;base_Download
index-216_Deutsch_Downloads_Installation_Image-für-Pi2-3-mit-piVCCU.htm;https://www.iobroker.net/#de/download;base_Download
index-217_Deutsch_Downloads_Installation_Image-für-Opi.htm;https://www.iobroker.net/#de/download;base_Download
index-218_Deutsch_Downloads_Installation_Image-für-Rock64.htm;https://www.iobroker.net/#de/download;base_Download
index-219_Deutsch_Downloads_Installation_Image-für-Pi2-3.htm;https://www.iobroker.net/#de/download;base_Download
index-22_Installation-Start_Plattformen_erster-Start.htm;;
index-220_Deutsch_Downloads_Installation_Image-für-Pi2-3.htm;https://www.iobroker.net/#de/download;base_Download
index-221_Deutsch_Downloads_Installation_Image-für-Pi2-3.htm;https://www.iobroker.net/#de/download;base_Download
index-222_Deutsch_Downloads_Installation_Image-für-Pi1.htm;https://www.iobroker.net/#de/download;base_Download
index-223_Deutsch_Downloads_Installation_Image-für-Pi2-3.htm;https://www.iobroker.net/#de/download;base_Download
index-224_Deutsch_Downloads_Installation_Image-für-BananaPi.htm;https://www.iobroker.net/#de/download;base_Download
index-225_Deutsch_Downloads_Installation_Image-für-BananaPi.htm;https://www.iobroker.net/#de/download;base_Download
index-226_Deutsch_Downloads_Installation_Image-für-Pine64.htm;https://www.iobroker.net/#de/download;base_Download
index-227_Deutsch_Downloads_Installation_Image-für-Cubietruck.htm;https://www.iobroker.net/#de/download;base_Download
index-228_Deutsch_Downloads_Installation_Image-für-Pi2-3.htm;https://www.iobroker.net/#de/download;base_Download
index-229_Deutsch_Downloads_Installation_Image-für-Cubietruck.htm;https://www.iobroker.net/#de/download;base_Download
index-23_Grundlagen-zu-Adaptern.htm;;
index-230_Deutsch_Downloads_Installation_Image-für-BananaPi.htm;https://www.iobroker.net/#de/download;base_Download
index-231_Deutsch_Downloads_Installation_Image-für-Cuboxi4.htm;https://www.iobroker.net/#de/download;base_Download
index-232_Deutsch_Downloads_Installation_Image-für-Pi2.htm;https://www.iobroker.net/#de/download;base_Download
index-233_Deutsch_Downloads_Installation_Image-für-Pi2-minimal.htm;https://www.iobroker.net/#de/download;base_Download
index-234_Deutsch_Adapter_Allgemein_Admin_Systemeinstellungen.htm;;
index-235_Deutsch_Adapter_Allgemein_Admin_Reiter-Adapter.htm;;
index-236_Englisch_Installation_Alexa-and-ioBroker.htm;;
index-237_Deutsch_Installation-Start-Alexa-mit-ioBroker_Generelle-Funktionsweise.htm;;
index-238_Deutsch_Installation-Start-Alexa-mit-ioBroker_manuelle-Vergabe-von-Namen.htm;;
index-239_Deutsch_Installation-Start-Alexa-mit-ioBroker_seltsame-Raumnamen.htm;;
index-24_Installation-Start_Multihost.htm;;
index-240_Deutsch_Installation-Start-Alexa-mit-ioBroker_Szenen-mit-Alexa-Aufrufen.htm;;
index-241_Deutsch_Adapter_Allgemein_Admin.htm;;
index-242_Deutsch_Adapter_Allgemein_Admin_Reiter-Instanzen.htm;;
index-243_Deutsch_Adapter_Allgemein_Admin_Reiter-Objekte.htm;;
index-244_Deutsch_Adapter_Allgemein_Admin_Reiter-Zustaende.htm;;
index-245_Deutsch_Adapter_Allgemein_Admin_Reiter-Ereignisse.htm;;
index-246_Deutsch_Adapter_Allgemein_Admin_Reiter-Benutzer.htm;;
index-247_Deutsch_Adapter_Allgemein_Admin_Reiter-Benutzer.htm;;
index-248_Deutsch_Adapter_Allgemein_Admin_Reiter-Aufzaehlungen.htm;;
index-249_Deutsch_Adapter_Allgemein_Admin_Reiter-Hosts.htm;;
index-25_Installation-Start_Alexa-cloud.htm;;
index-250_Deutsch_Adapter_Allgemein_Admin_Reiter-log.htm;;
index-251_Deutsch_Adapter_Allgemein_Homekit__leer.htm;;
index-252_Deutsch_Adapter_Allgemein_Tankerkoenig.htm;;
index-253_Deutsch_Adapter_Aufbewahrung_InfuxDB.htm;;
index-254_Deutsch_Adapter_Aufbewahrung_SQL.htm;;
index-255_Deutsch_Adapter_Hardware_Simatic-S7.htm;;
index-256_Deutsch_Adapter_Hardware_MegaD-325__leer.htm;;
index-257_Deutsch_Adapter_Hardware_Miele__leer.htm;;
index-258_Deutsch_Adapter_Hardware_ModBus__leer.htm;;
